giorno;ora;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
08/02/2020;3;;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,7;2,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;12;-999;-999;-999;-999;-999;2,9;0,9;-999;-999;1;-999
08/02/2020;4;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,7;-999;-999;1,4;1,8;-999;-999;-999;-999;2,4;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;10,5;-999;-999;-999;-999;-999;2,2;0,8;-999;-999;0,7;-999
08/02/2020;5;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;1,7;1,3;-999;-999;-999;-999;2,1;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,4;-999;-999;-999;-999;-999;2,2;0,6;-999;-999;0,7;-999
08/02/2020;6;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;2,9;1,2;-999;-999;-999;-999;2,1;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,3;-999;-999;-999;-999;-999;2;0,7;-999;-999;0,7;-999
08/02/2020;7;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;2,1;1,3;-999;-999;-999;-999;2,1;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,4;-999;-999;-999;-999;-999;2;0,8;-999;-999;0,7;-999
08/02/2020;8;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;1,5;1,5;-999;-999;-999;-999;2;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;6,1;-999;-999;-999;-999;-999;2,1;0,9;-999;-999;0,5;-999
08/02/2020;9;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,5;-999;-999;1,6;1,7;-999;-999;-999;-999;2,2;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,2;-999;-999;-999;-999;-999;2,7;2,9;-999;-999;0,9;-999
08/02/2020;10;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,6;-999;-999;2,5;1,8;-999;-999;-999;-999;2,1;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,3;-999;-999;-999;-999;-999;2;1,5;-999;-999;1,4;-999
08/02/2020;11;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,2;-999;-999;3;1,9;-999;-999;-999;-999;1,6;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,2;-999;-999;-999;-999;-999;1,6;2,2;-999;-999;0,7;-999
08/02/2020;12;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,7;-999;-999;3,3;1,4;-999;-999;-999;-999;1,2;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,3;-999;-999;-999;-999;-999;1,2;1,2;-999;-999;1,1;-999
08/02/2020;13;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,5;-999;-999;2,7;1,5;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,7;-999;-999;-999;-999;-999;0,9;1,6;-999;-999;1,2;-999
08/02/2020;14;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;1,6;-999;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,3;-999;-999;-999;-999;-999;0,9;1,5;-999;-999;0,9;-999
08/02/2020;15;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;1,3;-999;-999;-999;-999;-999;0,7;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,8;-999;-999;-999;-999;-999;0,9;0,9;-999;-999;0,9;-999
08/02/2020;16;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;1,5;-999;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,4;-999;-999;-999;-999;-999;0,9;1,1;-999;-999;0,6;-999
08/02/2020;17;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;1,7;-999;-999;-999;-999;-999;1,3;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,8;-999;-999;-999;-999;-999;1,1;1,6;-999;-999;0,9;-999
08/02/2020;18;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,9;-999;-999;1,8;-999;-999;-999;-999;-999;1,2;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,4;-999;-999;-999;-999;-999;1,2;2,1;-999;-999;2,1;-999
08/02/2020;19;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;-999;-999;2,6;-999;-999;-999;-999;-999;2;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,2;-999;-999;-999;-999;-999;3;3,8;-999;-999;3,2;-999
08/02/2020;20;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,3;-999;-999;5,3;-999;-999;-999;-999;-999;4,4;-999;-999;-999;-999;-999;-999;-999;-999;1,7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,4;-999;-999;-999;-999;-999;6,4;4,5;-999;-999;3;-999
08/02/2020;21;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,3;-999;-999;5,1;-999;-999;-999;-999;-999;8,6;-999;-999;-999;-999;-999;-999;-999;-999;1,1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,9;-999;-999;-999;-999;-999;7,7;4;-999;-999;3,4;-999
08/02/2020;22;;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,1;-999;-999;8;-999;-999;-999;-999;-999;8,1;-999;-999;-999;-999;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;8,1;-999;-999;-999;-999;-999;7;3,2;-999;-999;1,9;-999
08/02/2020;23;;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,8;-999;-999;6,1;-999;-999;-999;-999;-999;8,6;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;8,6;-999;-999;-999;-999;-999;7,7;2,6;-999;-999;1,7;-999
08/02/2020;24;;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,7;-999;-999;4,9;-999;-999;-999;-999;-999;7,2;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;11,6;-999;-999;-999;-999;-999;5,6;2,2;-999;-999;2,4;-999
09/02/2020;1;;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,5;-999;-999;3,8;0;-999;-999;-999;-999;5,4;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;12,9;-999;-999;-999;-999;-999;5,2;1,8;-999;-999;1,8;-999
09/02/2020;2;;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,2;-999;-999;2,4;-999;-999;-999;-999;-999;3,7;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;12;-999;-999;-999;-999;-999;4,4;2;-999;-999;-999;-999
09/02/2020;3;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0;-999;-999;1,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;10,8;-999;-999;-999;-999;-999;3,6;1,6;-999;-999;1,1;-999
09/02/2020;4;;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,6;-999;-999;1,2;-999;-999;-999;-999;-999;2,6;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;10,3;-999;-999;-999;-999;-999;3;1,2;-999;-999;0,9;-999
09/02/2020;5;;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,3;-999;-999;0,9;-999;-999;-999;-999;-999;2;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,6;-999;-999;-999;-999;-999;2,5;1,2;-999;-999;0,9;-999
09/02/2020;6;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,8;-999;-999;0,8;-999;-999;-999;-999;-999;1,9;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,4;-999;-999;-999;-999;-999;1,6;0,8;-999;-999;0,8;-999
09/02/2020;7;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,5;-999;-999;0,6;-999;-999;-999;-999;-999;1,8;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;6,8;-999;-999;-999;-999;-999;1,4;0,7;-999;-999;0,6;-999
09/02/2020;8;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,6;-999;-999;0,6;-999;-999;-999;-999;-999;1,7;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;6,7;-999;-999;-999;-999;-999;1,4;1,7;-999;-999;0,9;-999
09/02/2020;9;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,9;-999;-999;1,1;-999;-999;-999;-999;-999;1,7;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;6,5;-999;-999;-999;-999;-999;1,5;1,1;-999;-999;1;-999
09/02/2020;10;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,9;-999;-999;1;-999;-999;-999;-999;-999;1,6;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,8;-999;-999;-999;-999;-999;1,5;1,2;-999;-999;1,1;-999
09/02/2020;11;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,3;-999;-999;1;-999;-999;-999;-999;-999;1,6;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,4;-999;-999;-999;-999;-999;1,3;1,2;-999;-999;1,3;-999
09/02/2020;12;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,2;-999;-999;0,9;-999;-999;-999;-999;-999;1,4;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,3;-999;-999;-999;-999;-999;1,2;1,3;-999;-999;1,5;-999
09/02/2020;13;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,4;-999;-999;1;-999;-999;-999;-999;-999;1,3;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;-999;-999;-999;0,8;1;-999;-999;1,8;-999
09/02/2020;14;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;0,9;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,7;-999;-999;-999;-999;-999;0,6;1,3;-999;-999;0,6;-999
09/02/2020;15;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;0,8;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,3;-999;-999;-999;-999;-999;0,6;1;-999;-999;0,6;-999
09/02/2020;16;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;0,7;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;0,7;1;-999;-999;0,7;-999
09/02/2020;17;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;0,8;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;0,8;1,3;-999;-999;1;-999
09/02/2020;18;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;1,3;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,4;-999;-999;-999;-999;-999;1,3;1,6;-999;-999;1,7;-999
09/02/2020;19;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;1,9;-999;-999;-999;-999;-999;0,9;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;-999;-999;-999;1,5;2;-999;-999;3,8;-999
09/02/2020;20;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,9;-999;-999;1,6;-999;-999;-999;-999;-999;1,2;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,2;-999;-999;-999;-999;-999;1,3;1,7;-999;-999;2,5;-999
09/02/2020;21;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,9;-999;-999;1,2;-999;-999;-999;-999;-999;1,1;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,2;-999;-999;-999;-999;-999;1,5;1,3;-999;-999;1,3;-999
09/02/2020;22;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;0,9;-999;-999;-999;-999;-999;1,2;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;6,5;-999;-999;-999;-999;-999;1,9;1;-999;-999;1,4;-999
09/02/2020;23;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;0,8;-999;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,8;-999;-999;-999;-999;-999;1,7;0,9;-999;-999;2;-999
09/02/2020;24;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,6;-999;-999;0,6;-999;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;9,3;-999;-999;-999;-999;-999;1,5;0,7;-999;-999;1,9;-999
10/02/2020;1;;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,9;-999;-999;0,5;-999;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;4,5;-999;-999;-999;-999;-999;1,2;0,6;-999;-999;1,2;-999
10/02/2020;2;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,3;-999;-999;0,4;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,1;-999;-999;-999;-999;-999;0,7;0,7;-999;-999;-999;-999
10/02/2020;3;;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;4;-999;-999;-999;-999;-999;0,7;0,4;-999;-999;1;-999
10/02/2020;4;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,2;-999;-999;0,3;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,4;-999;-999;-999;-999;-999;0,6;0,4;-999;-999;0,6;-999
10/02/2020;5;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,3;-999;-999;0,5;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,9;-999;-999;-999;-999;-999;0,6;0,4;-999;-999;0,6;-999
10/02/2020;6;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,4;-999;-999;0,5;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,9;-999;-999;-999;-999;-999;0,6;0,4;-999;-999;0,6;-999
10/02/2020;7;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,4;-999;-999;1;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,4;-999;-999;-999;-999;-999;0,8;0,5;-999;-999;0,6;-999
10/02/2020;8;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,8;-999;-999;1,4;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,6;-999;-999;-999;-999;-999;1,2;0,7;-999;-999;0,7;-999
10/02/2020;9;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2;-999;-999;1,7;-999;-999;-999;-999;-999;0,9;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3,1;-999;-999;-999;-999;-999;2,1;1,4;-999;-999;0,6;-999
10/02/2020;10;;-999;-999;-999;-999;-999;-999;-999;-999;-999;2;-999;-999;1,6;-999;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,8;-999;-999;-999;-999;-999;2,4;1,2;-999;-999;0,9;-999
10/02/2020;11;;-999;-999;-999;-999;-999;-999;-999;-999;-999;1,7;-999;-999;1,5;-999;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,6;-999;-999;-999;-999;-999;1,5;0,9;-999;-999;0,9;-999
10/02/2020;12;;-999;2,2;-999;-999;-999;-999;-999;-999;-999;1,1;-999;-999;1,5;-999;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,4;-999;-999;-999;-999;-999;1,2;0,8;-999;-999;1;-999
10/02/2020;13;;-999;2,2;-999;-999;-999;-999;-999;-999;-999;1;-999;-999;1,4;-999;-999;-999;-999;-999;0,7;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,2;-999;-999;-999;-999;-999;1;1;-999;-999;0,8;-999
10/02/2020;14;;-999;1,7;-999;-999;-999;-999;-999;-999;-999;1;-999;-999;1,1;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,2;-999;-999;-999;-999;-999;1;1,1;-999;-999;1,6;-999
10/02/2020;15;;-999;1,6;-999;-999;-999;-999;-999;-999;-999;0,9;-999;-999;1,2;1,7;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,3;-999;-999;-999;-999;-999;1,3;1;-999;-999;1;-999
10/02/2020;16;;-999;1,6;-999;-999;-999;-999;-999;-999;-999;0,7;-999;-999;1,1;1,7;-999;-999;-999;-999;0,9;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;2,2;-999;-999;-999;-999;-999;1,3;1;-999;-999;1,2;-999
10/02/2020;17;;-999;1,6;-999;-999;-999;-999;-999;-999;-999;0,9;-999;-999;1,3;2,6;-999;-999;-999;-999;1;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;3;-999;-999;-999;-999;-999;1,3;1,2;-999;-999;1,3;-999
10/02/2020;18;;-999;1,9;-999;-999;-999;-999;-999;-999;-999;1,2;-999;-999;1,2;2,8;-999;-999;-999;-999;0,9;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;5,9;-999;-999;-999;-999;-999;1,7;1,4;-999;-999;1,8;-999
10/02/2020;19;;-999;2,2;-999;-999;-999;-999;-999;-999;-999;2;-999;-999;1,4;2,5;-999;-999;-999;-999;0,9;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;8,1;-999;-999;-999;-999;-999;2,3;1,6;-999;-999;1,5;-999
10/02/2020;20;;-999;2,4;-999;-999;-999;-999;-999;-999;-999;1,3;-999;-999;1,5;1,5;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;8,9;-999;-999;-999;-999;-999;2,4;1,7;-999;-999;1,6;-999
10/02/2020;21;;-999;2,8;-999;-999;-999;-999;-999;-999;-999;1,5;-999;-999;1,8;1,6;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;8,2;-999;-999;-999;-999;-999;2,2;1,5;-999;-999;1,9;-999
10/02/2020;22;;-999;2,3;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;1,2;0,9;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;9,4;-999;-999;-999;-999;-999;1,7;1,4;-999;-999;1,5;-999
10/02/2020;23;;-999;1,8;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;0,8;1,1;-999;-999;-999;-999;0,5;-999;-999;-999;-999;-999;-999;-999;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;8,9;-999;-999;-999;-999;-999;1,6;1,2;-999;-999;1,2;-999
10/02/2020;24;;-999;1,2;-999;-999;-999;-999;-999;-999;-999;0,8;-999;-999;0,6;0,9;-999;-999;-999;-999;0,8;-999;-999;-999;-999;-999;-999;-999;-999;0,3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;7,5;-999;-999;-999;-999;-999;1,3;1,1;-999;-999;1,2;-999
11/02/2020;1;;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,6;1,1;-999;-999;-999;-999;0,6;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;9,9;-999;-999;-999;-999;-999;1,2;1,1;-999;-999;0,9;-999
11/02/2020;2;;-999;0,4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0,4;0,5;-999;-999;-999;-999;0,7;-999;-999;-999;-999;-999;-999;-999;-999;0,2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;9,9;-999;-999;-999;-999;-999;1;1,1;-999;-999;-999;-999
